Label,PrawnID,Pond_Type,mean_length,std_length,Length_fov(mm),mean_pixels,pred_Distance_pixels,Length_ground_truth_annotation_pixels,mean_scale,pred_scale,std_scale,Scale_1,Scale_2,Scale_3,std_pixels
carapace:undistorted_GX010080_212_2954.jpg_gamma,Prawn_2,circle_female,33.73266666666667,3.7911056874391322,31.9328249666236,198.3014770666667,170.2213475482218,161.245154965971,59.004,53.306072270817964,3.503428606379756,63.008,56.502,57.502,13.819170305649935
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_0,circle_female,36.14033333333333,0.5746079823090992,37.83376952687275,194.1503308,202.025791880838,179.2344832893492,53.718999999999994,53.398272074724716,1.5317875179018814,55.036,52.038,54.083,6.747805406457968
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_1,circle_female,36.446666666666665,1.3575567514226903,34.43750894290973,195.8297672,184.1901695890552,174.14074767268,53.718999999999994,53.485334811645174,1.5317875179018814,55.036,52.038,54.083,10.556678236248866
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_2,circle_female,31.065,3.055670630156334,26.85423705672425,166.71931443333335,144.0688927909964,128.062484748657,53.718999999999994,53.6484773284303,1.5317875179018814,55.036,52.038,54.083,14.540212153336595
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_3,circle_female,36.763333333333335,3.807748591140614,31.58886368819154,197.2251066,169.0912782204571,158.9024858207069,53.718999999999994,53.52876250615698,1.5317875179018814,55.036,52.038,54.083,17.46253459609885
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_0,circle_female,36.775333333333336,1.5615253226679786,35.34048911036654,206.13778720000002,188.7752485682775,145.7737973711324,56.05566666666667,53.416139199076184,2.034609135272261,54.009,56.08,58.078,11.172589645991357
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_1,circle_female,36.04233333333333,2.9496413906326513,30.52363122630592,201.71644873333335,162.6695643009064,147.6482306023337,56.05566666666667,53.29299227043285,2.034609135272261,54.009,56.08,58.078,11.85432959261888
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_3,circle_female,36.336,2.190493323431963,27.90947526438572,203.8718875333333,150.53622128238,165.5294535724689,56.05566666666667,53.9373169349672,2.034609135272261,54.009,56.08,58.078,17.641234522620238
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_4,circle_female,33.14033333333333,3.1168920952341845,35.86921919248361,185.3691447,191.6967927530965,177.5528090456473,56.05566666666667,53.44325777608968,2.034609135272261,54.009,56.08,58.078,11.000099960638918
carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_1,circle_female,34.424,2.2569920247976074,32.34063659852028,189.1141200666667,172.730316592892,159.5305613354382,55.07666666666666,53.409683531336285,5.2760107404490135,59.54,49.254,56.436,15.024189773596065
carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_2,circle_female,37.46033333333333,1.6320295136220193,32.10812343838406,205.83002233333332,173.3771718552294,147.7328670269418,55.07666666666666,53.99791494758098,5.2760107404490135,59.54,49.254,56.436,13.369324166195103
carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_3,circle_female,36.906,2.140470041836606,36.43816967335191,202.57788879999998,196.8425038394266,185.0,55.07666666666666,54.020963622490115,5.2760107404490135,59.54,49.254,56.436,10.304248895272291
