image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length
colored_undistorted_GX010194_31_414,small,130.5,31.1,2085.9,586.5,1232.8,294.0
colored_undistorted_GX010194_36_485,small,133.6,31.5,2388.0,856.4,1270.9,299.5
colored_undistorted_GX010194_37_496,small,145.5,32.7,2413.9,1334.7,1383.6,311.2
colored_undistorted_GX010194_38_504,small,144.0,31.7,2403.2,1660.8,1370.0,301.6
colored_undistorted_GX010194_3_360,small,129.9,31.9,1783.4,2027.2,1228.4,301.4
colored_undistorted_GX010194_40_520,small,121.0,28.4,2471.9,2231.9,1150.9,270.0
colored_undistorted_GX010194_54_755,big,155.2,38.2,3326.5,769.1,1504.7,370.1
colored_undistorted_GX010194_54_755,small,159.6,39.3,3326.5,769.1,1504.7,370.1
colored_undistorted_GX010194_55_768,big,156.1,37.2,3015.2,1048.6,1512.1,360.7
colored_undistorted_GX010194_55_768,small,160.4,38.3,3015.2,1048.6,1512.1,360.7
colored_undistorted_GX010194_56_784,small,131.1,33.6,3232.3,1314.5,1234.5,316.5
colored_undistorted_GX010194_57_798,small,121.9,31.5,3438.8,1649.2,1145.7,295.8
colored_undistorted_GX010194_59_822,small,120.9,30.0,2615.4,563.5,1149.6,285.1
colored_undistorted_GX010194_5_757,big,166.5,40.9,3278.7,840.6,1613.8,396.6
colored_undistorted_GX010194_5_757,small,171.1,42.1,3278.7,840.6,1613.8,396.6
colored_undistorted_GX010194_60_836,small,126.2,31.8,2913.1,668.2,1196.9,301.4
colored_undistorted_GX010194_61_852,small,149.4,36.6,2758.3,712.9,1416.6,347.2
colored_undistorted_GX010194_62_878,small,141.6,35.8,2395.7,746.8,1340.9,339.2
colored_undistorted_GX010194_63_894,small,136.9,34.7,2114.5,780.1,1297.5,328.9
colored_undistorted_GX010194_64_911,small,157.6,41.5,1772.1,2856.5,1475.1,388.4
colored_undistorted_GX010194_65_928,small,151.1,43.0,1994.0,2830.2,1414.8,402.3
colored_undistorted_GX010194_6_845,small,137.4,35.1,2804.4,773.2,1303.0,333.4
colored_undistorted_GX010194_7_885,small,146.8,34.6,2240.9,709.6,1391.6,328.0
