image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length,sample_id,filepath,tags,detections.label,labels,diff_big,diff_small,new_class
undistorted_GX010191_93_1112,small,152.7,36.5,3472.8,286.8,780.9,187.0,{'$oid': '68736034b54ea3950eac70f8'},data/undistorted_GX010191_93_1112.jpg,Circle|big mpe<5|small mpe<5|3_low_visibility_keypoints|3_low_visibility_keypoints|good,big_prawn|low_visibility_prawn|small_prawn,big_prawn|eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,27.30000000000001,7.699999999999989,small
undistorted_GX010191_92_1087,big,165.5,35.7,3352.3,1451.9,874.8,188.5,{'$oid': '68736034b54ea3950eac70ef'},data/undistorted_GX010191_92_1087.jpg,Circle|big mpe5<x<10|good,big_prawn,big_prawn|eyes|rostrum|start_carapace|tail,14.5,20.5,big
undistorted_GX010191_91_1066,big,166.0,40.2,3304.7,1111.5,877.9,212.9,{'$oid': '68736034b54ea3950eac70ec'},data/undistorted_GX010191_91_1066.jpg,Circle|big mpe5<x<10|good,big_prawn,big_prawn|eyes|rostrum|start_carapace|tail,14.0,21.0,big
undistorted_GX010191_90_1036,big,170.7,40.5,3224.6,810.1,905.5,214.7,{'$oid': '68736034b54ea3950eac70e9'},data/undistorted_GX010191_90_1036.jpg,Circle|shai_measured|shai_measurements_1|big mpe5<x<10|3_low_visibility_keypoints|good,1008.801|big_prawn|low_visibility_prawn,1008.801|big_prawn|eyes|low_visibility_prawn|rostrum|start_carapace|tail,9.300000000000011,25.69999999999999,big
undistorted_GX010191_8_309,small,154.8,35.7,2879.4,1465.9,790.1,181.9,{'$oid': '68736034b54ea3950eac70e1'},data/undistorted_GX010191_8_309.jpg,Circle|shai_measured|shai_measurements_2|small mpe<5|big mpe<5|good,789.582|913.42|big_prawn|small_prawn,789.582|913.42|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,25.19999999999999,9.800000000000011,small
undistorted_GX010191_8_309,big,179.7,37.3,3907.6,2309.3,958.2,198.9,{'$oid': '68736034b54ea3950eac70e1'},data/undistorted_GX010191_8_309.jpg,Circle|shai_measured|shai_measurements_2|small mpe<5|big mpe<5|good,789.582|913.42|big_prawn|small_prawn,789.582|913.42|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,0.30000000000001137,34.69999999999999,big
undistorted_GX010191_89_1024,big,175.2,37.3,3199.4,651.8,931.7,198.7,{'$oid': '68736034b54ea3950eac70d6'},data/undistorted_GX010191_89_1024.jpg,Circle|big mpe<5|good,big_prawn,big_prawn|eyes|rostrum|start_carapace|tail,4.800000000000011,30.19999999999999,big
undistorted_GX010191_88_1016,big,190.4,40.7,3254.0,575.4,1014.3,216.7,{'$oid': '68736034b54ea3950eac70d3'},data/undistorted_GX010191_88_1016.jpg,Circle|shai_measured|shai_measurements_1|big mpe<5|2_low_visibility_keypoints|good,1038.129|big_prawn|low_visibility_prawn,1038.129|big_prawn|eyes|low_visibility_prawn|rostrum|start_carapace|tail,10.400000000000006,45.400000000000006,big
undistorted_GX010191_5_190,big,172.0,39.1,3657.7,545.9,917.3,208.5,{'$oid': '68736034b54ea3950eac70c6'},data/undistorted_GX010191_5_190.jpg,Circle|shai_measured|shai_measurements_1|big mpe5<x<10|small mpe10<x<20|good,1028.778|big_prawn|small_prawn,1028.778|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,8.0,27.0,big
undistorted_GX010191_47_507,big,170.3,41.6,3399.7,2381.2,905.0,220.9,{'$oid': '68736034b54ea3950eac70aa'},data/undistorted_GX010191_47_507.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe<5|good,699.314|872.624|big_prawn|small_prawn|unknown_prawn,699.314|872.624|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail|unknown_prawn,9.699999999999989,25.30000000000001,big
