image_name,BX,BY,Width,Height,Length,lobster_size,total_length,pixels_total_length,length_diff,is_big,is_small,real_length,real_length_abs_diff,real_length_rel_diff,pixel_abs_diff,pixel_rel_diff,BX_pred,BY_pred,Width_pred,Height_pred,rostrum_x_pred,rostrum_y_pred,tail_x_pred,tail_y_pred,rostrum_x_norm,rostrum_y_norm,tail_x_norm,tail_y_norm,rostrum_x_norm_ref,rostrum_y_norm_ref,tail_x_norm_ref,tail_y_norm_ref,pixels_total_length_pred,pixels_total_length_err,BX_err,BY_err,Width_err,Height_err
undistorted_GX010193_18_1289,2068,552,521,1249,1352.0,small,145.8,1312.1,39.90000000000009,False,False,145,0.8000000000000114,0.5517241379310424,39.90000000000009,2.9511834319526695,230.98783999999998,60.458040000000004,103.21216,171.27936,314.99264,211.00680000000003,247.45983999999999,68.067,0.492176,0.58613,0.386656,0.189075,0.492176,0.5861300000000002,0.38665599999999994,0.189075,1312.1474567619046,0.0474567619046411,1837.01216,491.54196,417.78784,1077.72064
undistorted_GX010191_114_1383,4616,104,261,773,814.607,small,149.5,772.3,42.307000000000016,False,True,145,4.5,3.103448275862069,42.307000000000016,5.193547317909129,541.55264,6.763860000000005,64.08576,108.70956,586.7424,100.20564,556.4012799999999,12.2445,0.916785,0.278349,0.869377,0.0340125,0.9167850000000001,0.27834900000000007,0.8693769999999998,0.03401250000000001,772.2901670780234,0.009832921976567377,4074.44736,97.23613999999999,196.91424,664.29044
undistorted_GX010191_8_309,3860,1736,157,901,913.42,big,179.7,958.2,44.780000000000086,True,False,180,0.3000000000000113,0.1666666666666729,44.780000000000086,4.902454511615695,449.06163200000003,201.96396,48.372735999999996,125.84952,477.86688,326.78891999999996,464.36864,212.13648,0.746667,0.907747,0.725576,0.589268,0.7466670000000001,0.907747,0.7255760000000001,0.5892680000000001,958.1876209279769,0.012379072023122717,3410.938368,1534.03604,108.627264,775.15048
undistorted_GX010191_34_350,2796,1692,489,533,721.92,small,149.3,766.8,44.879999999999995,False,True,145,4.300000000000011,2.965517241379318,44.879999999999995,6.216755319148936,326.76863999999995,180.45792000000003,88.93184,100.14335999999999,400.63232,200.97432,339.52512,270.27,0.625988,0.558262,0.530508,0.75075,0.6259880000000001,0.558262,0.5305080000000001,0.75075,766.8401019829557,0.040101982955775384,2469.23136,1511.54208,400.06816000000003,432.85664
undistorted_GX010191_35_367,3064,1704,253,661,706.473,small,146.1,752.7,46.22700000000009,False,True,145,1.0999999999999943,0.7586206896551685,46.22700000000009,6.543349852011343,353.48064,187.06086000000002,67.62944,103.77756,409.86111999999997,202.79088000000002,361.24928,279.34704,0.640408,0.563308,0.564452,0.775964,0.640408,0.5633080000000001,0.5644520000000001,0.7759640000000001,752.6940757695772,0.005924230422806431,2710.5193600000002,1516.93914,185.37056,557.22244
undistorted_GX010191_28_230,3828,660,181,1009,1023.945,big,201.1,1072.3,48.354999999999905,True,False,180,21.09999999999999,11.722222222222218,48.354999999999905,4.7224216144421725,439.56243200000006,63.01026000000001,63.204736,145.6146,479.43744000000004,208.55016,460.02112,80.8272,0.749121,0.579306,0.718783,0.22452,0.7491210000000001,0.5793060000000001,0.7187830000000001,0.22452000000000005,1072.279951912042,0.020048087958002725,3388.437568,596.98974,117.795264,863.3854
undistorted_GX010191_34_1128,3404,1416,561,769,950.486,big,169.7,900.2,50.285999999999945,True,False,180,10.300000000000011,5.7222222222222285,50.285999999999945,5.290556620507818,405.35040000000004,157.35114,80.97792,116.16084,416.51007999999996,263.27124,477.33119999999997,173.47464000000002,0.650797,0.731309,0.74583,0.481874,0.650797,0.731309,0.7458300000000001,0.4818740000000001,900.1822773651654,0.01772263483462666,2998.6495999999997,1258.64886,480.02208,652.83916
undistorted_GX010191_38_1266,2768,1296,77,713,716.045,small,150.7,767.3,51.254999999999995,False,True,145,5.699999999999989,3.931034482758613,51.254999999999995,7.158069674391972,397.96288,55.91952,123.28832,38.592,506.76864,74.07504,414.38144,70.8822,0.791826,0.205764,0.647471,0.196895,0.791826,0.20576400000000003,0.647471,0.19689500000000001,767.2715443972004,0.028455602799567714,2370.03712,1240.08048,46.28832,674.408
undistorted_GX010191_17_509,3220,2060,477,737,876.511,big,174.9,928.0,51.48900000000003,True,False,180,5.099999999999994,2.83333333333333,51.48900000000003,5.8743130434187405,371.54303999999996,233.7291,96.35968,119.979,392.65664000000004,249.65784000000002,453.09759999999994,343.7244,0.613526,0.693494,0.707965,0.95479,0.6135260000000001,0.6934940000000002,0.707965,0.9547900000000001,928.0286140802732,0.02861408027320067,2848.45696,1826.2709,380.64032,617.021
undistorted_GX010191_41_1322,2628,764,117,953,959.041,big,169.0,901.2,57.84100000000001,True,False,180,11.0,6.111111111111111,57.84100000000001,6.0311290132538655,305.435008,77.17338,38.905344,145.3194,324.992,95.78196,314.40448,203.8428,0.5078,0.266061,0.491257,0.56623,0.5078,0.266061,0.49125700000000005,0.5662300000000001,901.1996411935183,0.0003588064816995029,2322.564992,686.82662,78.094656,807.6806
